,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,11,19,60,70,0.025,1e-08,-0.00274010755192889,0.00031091775296343506,0.018389481038028885,-0.0022311239708845336,0.0012962442040995849,0.017771828432068662,AAPL
1,3,35,90,50,1e-08,0.0007500025000000001,0.0018214710556178151,0.0016556807220635943,0.015622042273992514,-0.00262278716462457,0.0008282209015899355,0.017550399371708412,ABBV
2,3,35,60,50,0.0187500025,0.0007500025000000001,0.0005350893959201602,0.0008851882638617551,0.01103092542578816,-0.004440103424182111,0.0007316859446477524,0.014804102426117566,ABT
3,11,35,80,70,0.0187500025,0.0007500025000000001,-4.243450485940429e-05,0.0009016293739016602,0.013482712979953616,-0.001306168534947719,0.0008511635727474962,0.014728918033273593,ACN
4,3,35,70,80,1e-08,0.0005000050000000001,0.0018804290032825733,0.0016030857109055475,0.015620942963004203,0.0020843790864552973,0.0011107346604451393,0.019201026703728467,ADBE
5,3,27,60,80,1e-08,0.0005000050000000001,,0.001024118130846452,0.015073235689791388,-0.0005371485126252293,0.001316028557941762,0.02408126355068711,AMAT
6,11,35,50,60,0.025,0.0002500075,0.0024178752223632345,-0.0007880889896240108,0.03337694907983953,-0.0012107421462147462,0.0023806961325431547,0.03730990976727099,AMD
7,35,11,70,80,0.025,1e-08,0.0013424272794332404,0.0014083564952459577,0.014624315882271062,0.00010483197284720001,0.0005227244603478938,0.01606702001626048,AMGN
8,3,35,60,50,1e-08,0.0002500075,0.002488855388165085,0.0014730434447026036,0.01876833353386982,-0.00038150365085163517,0.0012615194650287644,0.019349902852798435,AMZN
9,3,35,60,50,1e-08,0.0002500075,-0.00015132563190402,0.0020202872291107473,0.022185247248241478,-0.005254941813019847,0.0012405312142487544,0.020733924110656405,ASML
10,3,27,90,80,1e-08,0.001,,0.0012919288611576562,0.020073931524483373,0.0006758193020485558,0.0014880255419040783,0.022037355492369556,AVGO
11,11,11,70,70,0.025,1e-08,0.0012978628814177186,0.0011636888697976382,0.012178473599952071,-0.0036971712963892026,0.000629652244492907,0.019214260749782722,AXP
12,19,11,60,90,0.025,1e-08,0.0011275017586397024,0.0010481034875113458,0.009978240381093954,0.0003002603364842316,0.0005560873349533742,0.01602500125836317,AZN
13,11,35,50,70,0.0187500025,0.0005000050000000001,0.004853621574579757,0.0012429846123463326,0.01314869597712992,-0.0016757798373204299,0.0006252193007056898,0.024997691738964208,BA
14,3,3,50,50,1e-08,1e-08,,,,-0.0034202528156634803,0.0003793635233743483,0.022480671624457507,BABA
